Date,Name,Year,Letterboxd URI
2023-12-24,Shoplifters,2018,https://boxd.it/ifY6
2023-12-24,Perfect Days,2023,https://boxd.it/ATh8
2023-12-24,MaXXXine,2024,https://boxd.it/CIM4
2023-12-25,Everything Everywhere All at Once,2022,https://boxd.it/jUk4
2023-12-26,The Teachers' Lounge,2023,https://boxd.it/BINY
2023-12-26,Anatomy of a Fall,2023,https://boxd.it/yuDE
2023-12-26,Broker,2022,https://boxd.it/rDUU
2023-12-26,Memories of Murder,2003,https://boxd.it/1TSo
2023-12-26,RRR,2022,https://boxd.it/ljDs
2023-12-26,The Banshees of Inisherin,2022,https://boxd.it/p7XS
2023-12-26,TÁR,2022,https://boxd.it/uNIA
2023-12-26,City of God,2002,https://boxd.it/2a2a
2023-12-27,All of Us Strangers,2023,https://boxd.it/Bz3C
2023-12-28,It Follows,2014,https://boxd.it/87wo
2023-12-28,The Cat in the Hat,2003,https://boxd.it/1VSU
2023-12-28,Cats,2019,https://boxd.it/jydK
2023-12-28,Leave the World Behind,2023,https://boxd.it/re0i
2023-12-28,Poor Things,2023,https://boxd.it/tNWU
2023-12-28,Barbie,2023,https://boxd.it/bCLK
2023-12-28,The Boy and the Heron,2023,https://boxd.it/ipeM
2023-12-28,Bottoms,2023,https://boxd.it/uGf2
2023-12-28,Migration,2023,https://boxd.it/ztfo
2023-12-28,Joker,2019,https://boxd.it/h4cS
2023-12-28,Past Lives,2023,https://boxd.it/oNB8
2023-12-28,Godzilla Minus One,2023,https://boxd.it/zu4c
2023-12-28,When Evil Lurks,2023,https://boxd.it/rXBe
2023-12-28,The Creator,2023,https://boxd.it/oXWq
2023-12-28,Mayhem!,2023,https://boxd.it/AdA8
2023-12-28,Nimona,2023,https://boxd.it/Aiyc
2023-12-28,Suzume,2022,https://boxd.it/yv7Y
2023-12-28,The Super Mario Bros. Movie,2023,https://boxd.it/i8C8
2023-12-28,Evil Dead Rise,2023,https://boxd.it/qIvo
2023-12-28,Sun and Concrete,2023,https://boxd.it/yuFq
2023-12-28,Talk to Me,2022,https://boxd.it/C6uQ
2023-12-28,Oldboy,2003,https://boxd.it/29R2
2023-12-28,Come and See,1985,https://boxd.it/1w9q
2023-12-28,Ikiru,1952,https://boxd.it/251c
2023-12-28,Heat,1995,https://boxd.it/2bg8
2023-12-28,Harakiri,1962,https://boxd.it/1NTU
2023-12-28,There Will Be Blood,2007,https://boxd.it/20Z2
